"","Sample.1.NI.Sample1","Sample.2.NI.Sample1","Sample.3.d3.pi.Sample1","Sample.4.d3.pi.Sample1","Sample.5.ECM.Sample1","Sample.6.ECM.Sample1","Sample 1
ECM
Sample2","Sample 2
ECM
Sample2","Sample 3
NI
Sample2","Sample 4
NI
Sample2","Sample 5
d3 pi
Sample2","Sample 6
d3 pi
Sample2"
"O88783",0.00910457777511597,-0.17560193588565,-0.112996299177247,-0.209505775920649,0.691124660718235,-0.202125227509804,-0.0882942908212341,-0.00219002298232418,0.0039490317461115,0.00397769509824863,0.0906140324785563,-0.00805644551935902
"O88947",0.563292012331894,0.0341030701338139,0.0830316446470665,0.168377105958535,-0.49115470419386,-0.35764912887745,0.212531077083137,-0.231579852395962,-0.0643796744190785,0.0109113557053195,0.130853968205417,-0.0583368741788348
"O88968",0.0518314898642829,0.193365959021817,0.231374137770317,0.474542219326491,-0.479661807889371,-0.471451998093538,NA,NA,NA,NA,NA,NA
"O89020",-0.0258118173281425,0.236778033459943,0.322507761345446,0.280568691779148,-0.421060403539899,-0.392982265716496,-0.00678938519219807,-0.480851049730083,-0.0357065636111402,-0.187964716308294,0.666310552913196,0.0450011619285182
"O89053",-0.132491411908041,-0.152223526647266,-0.192651736874093,-0.0833038231726371,0.273616087659234,0.287054410942803,-0.186208698605689,0.800389973097751,-0.243534723469505,0.207644492637031,-0.596621544433581,0.0183305007739913
"P00184, P00186",-0.127569722776831,-0.167151129384259,-0.147916768100635,-0.203866212410794,1.0515348311875,-0.405030998514976,NA,NA,NA,NA,NA,NA
"P00342, P06151",-0.136109286171578,-0.249914577330228,-0.342599587073108,-0.255996512260315,0.405519838921342,0.579100123913888,-0.302212373882991,0.968234077679005,-0.0231899630890577,0.0190152792006462,-0.507668887860483,-0.15417813204712
"P00342, P06151, P16125",-0.00931273494860774,-0.296740819599372,-0.509174910701915,-0.469388002755414,0.7041995869319,0.580416881073407,-0.295805114154754,1.30271582599989,-0.386934569388362,-0.012329612999217,-0.693903941998333,0.0862574125407769
"P00687, P00688",0.0540737511099056,-0.334298391446768,-0.242864250808978,-0.258732693014862,0.477480950157993,0.304340634002709,NA,NA,NA,NA,NA,NA
"P00920",-0.404299096531529,-0.622638868267041,-0.665418513596669,-0.740989355618678,1.15397045141936,1.27937538259456,0.00171379724147158,1.79258098279557,-0.846555074073117,-0.310760006245436,-0.451626691437566,-0.185353008280924
"P01027",-0.179161491410379,-0.07540027128799,0.13895956306439,0.0891264751044365,0.13903633773496,-0.112560613205416,-0.138013056080912,-0.0292860046316323,-0.0767231197638263,0.00262034357774921,0.293523266413042,-0.0521214295144197
"P01027, Q8R422",-0.372350695057432,0.0758803790728346,0.429086521717984,0.44398321600482,-0.12058318171744,-0.456016240020766,0.00138166537108075,-0.795381784381785,-0.00288342256426022,-0.0429247547426121,0.784680504820861,0.0551277914967154
"P01029",-0.224070893028416,-0.208763568971362,-0.139448321229712,-0.121430393271824,0.533147964811272,0.160565211690042,-0.07579652615948,0.49789361695934,0.0814711730005873,-0.159593427999879,-0.182274592903445,-0.161700242897125
"P01592",-0.20092168139259,-0.00960208444410027,-0.0894306811789218,-0.253913525871259,0.283396485338142,0.270471487548728,0.401344889471641,-0.263591747793905,0.152275221807252,-0.0796871280615834,-0.112399780669642,-0.0979414547537614
"P01629, P01630, P01631, P01633, P01634, P01639, P01643, P01644, P01645, P01646, P01647, P01648, P01649, P01650, P01652, P01653, P01654, P01655, P01656, P01660, P01661, P01662, P01664, P01670, P01672, P01675, P01678, P03976, P03977, P04946",-0.563890009538201,-0.309212711584724,-0.457598232837711,-0.690693764920702,1.06600859875375,0.955386120127584,NA,NA,NA,NA,NA,NA
"P01629, P01630, P03976",0.353462974219668,-0.112650805146925,-0.627929609975604,-0.663832739765934,0.404359150893127,0.646591029775669,0.727524760778521,-0.619917611504754,0.147220815621292,0.148947726227703,-0.310543929032637,-0.093231762090126
"P01630",-0.228164172022534,-0.0966824991508939,-0.53759700502467,-0.410610455385327,0.518477799240063,0.754576332343362,0.659219648153,-0.43171750369246,-0.068450392446064,0.106364710313053,-0.0857519505954496,-0.179664511732081
"P01631",-0.394249494525829,-0.349189657726547,-0.410049491259459,-0.313861267583152,0.727608562022624,0.739741349072365,1.03667287661632,-0.498123955627501,0.368377953601736,-0.325642228139357,-0.0895819315732322,-0.49170271487796
